종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
272580,6,TIGER 단기채권액티브,50210,5,-5,-0.01,50208.0,0.1395,2330,116,1884,채권,TIGER,False,False,False
390950,6,HANARO 단기채권액티브,100265,3,0,0.0,100257.0,0.1498,0,0,1859,채권,HANARO,False,False,False
190620,6,KINDEX 단기통안채,100580,5,-5,0.0,100577.0,0.1742,530,53,1840,채권,KINDEX,False,False,False
325020,2,KODEX 배당가치,13050,2,5,0.04,13058.0,1.755,81258,1065,1814,국내 업종/테마,KODEX,False,False,False
261220,5,KODEX WTI원유선물(H),12280,2,460,3.89,,22.4236,359946,4395,1808,원자재,KODEX,False,False,True
182480,7,TIGER 미국MSCI리츠(합성 H),15940,2,140,0.89,,5.5867,16234,258,1769,기타,TIGER,False,False,True
302450,1,KBSTAR 코스피,30105,5,-110,-0.36,30096.0,-2.6736,115,3,1701,국내 시장지수,KBSTAR,False,False,False
278240,1,KBSTAR 코스닥150선물레버리지,16520,2,135,0.82,16503.0,7.337,12285,200,1647,국내 시장지수,KBSTAR,False,True,False
368590,4,KBSTAR 미국나스닥100,14435,5,-45,-0.31,,9.3242,93939,1356,1617,해외 주식,KBSTAR,False,False,False
270810,1,KBSTAR 코스닥150,14830,2,15,0.1,15029.0,3.6376,19937,295,1596,국내 시장지수,KBSTAR,False,False,False
401170,2,KBSTAR iSelect메타버스,12535,5,-55,-0.44,12532.0,,914470,11405,1572,국내 업종/테마,KBSTAR,False,False,False
232080,1,TIGER 코스닥150,15130,2,45,0.3,15311.0,3.11,11340,171,1558,국내 시장지수,TIGER,False,False,False
385560,6,KBSTAR KIS국고채30년Enhanced,96785,5,-295,-0.3,96789.0,-10.4329,157,15,1520,채권,KBSTAR,False,False,False
372330,4,KODEX 차이나항셍테크,8360,5,-20,-0.24,,5.608,309437,2584,1509,해외 주식,KODEX,False,False,False
143860,2,TIGER 헬스케어,35920,5,-85,-0.24,36134.0,-20.51,35289,1273,1451,국내 업종/테마,TIGER,False,False,False
091230,2,TIGER 반도체,37800,5,-680,-1.77,37893.0,7.8928,61043,2308,1444,국내 업종/테마,TIGER,False,False,False
228800,2,TIGER 여행레저,4815,5,-90,-1.83,4827.0,-3.7292,1076633,5205,1348,국내 업종/테마,TIGER,False,False,False
150460,2,TIGER 중국소비테마,7955,5,-65,-0.81,7972.0,-5.4246,8729,69,1341,국내 업종/테마,TIGER,False,False,False
138540,2,TIGER 현대차그룹+펀더멘털,24215,5,-240,-0.98,24215.0,-2.0037,15694,380,1332,국내 업종/테마,TIGER,False,False,False
219480,4,KODEX 미국S&P500선물(H),22585,2,70,0.31,,5.0629,10760,243,1310,해외 주식,KODEX,False,False,True
252710,3,TIGER 200선물인버스2X,2310,2,20,0.87,2314.0,2.2321,2513321,5763,1310,국내 파생,TIGER,True,False,False
267770,3,TIGER 200선물레버리지,17740,5,-180,-1.0,17741.0,-4.6809,284966,5116,1295,국내 파생,TIGER,False,True,False
204480,4,TIGER 차이나CSI300레버리지(합성),32590,5,-105,-0.32,,9.2747,7044,229,1206,해외 주식,TIGER,False,True,False
